,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop
British Virgin Islands,7305.0,,64.0,,,,,,238757.0,2092.0,107339.0,3508269.0,30596.0,North America,,44780.0,
Cook Islands,7106.0,,2.0,,7078.0,,26.0,,404416.0,114.0,19690.0,1120596.0,17571.0,Australia/Oceania,,287861.0,
Saint Kitts and Nevis,6600.0,,48.0,,6550.0,,2.0,,122515.0,891.0,126941.0,2356388.0,53871.0,North America,,811220.0,
Turks and Caicos,6588.0,,38.0,,6529.0,,21.0,4.0,165773.0,956.0,612335.0,15408143.0,39741.0,North America,,610460.0,
Sao Tome and Principe,6580.0,,80.0,,6495.0,,5.0,,28900.0,351.0,29036.0,127530.0,227679.0,Africa,,3528468.0,
Palau,6009.0,,9.0,,5998.0,,2.0,,329567.0,494.0,69729.0,3824330.0,18233.0,Australia/Oceania,,320260.0,
St. Barth,5486.0,,6.0,,,,,,551634.0,603.0,78646.0,7908095.0,9945.0,North America,,216580.0,
Nauru,5393.0,,1.0,,5347.0,,45.0,,494635.0,92.0,20509.0,1881042.0,10903.0,Australia/Oceania,,2109031.0,
Kiribati,5025.0,,24.0,,2703.0,,2298.0,3.0,40715.0,194.0,,,123419.0,Australia/Oceania,,255142.0,
Anguilla,3904.0,,12.0,,3879.0,,13.0,4.0,256336.0,788.0,51382.0,3373736.0,15230.0,North America,,412690.0,
Macao,3620.0,1.0,121.0,,3479.0,7.0,20.0,,5423.0,181.0,7850.0,11760.0,667490.0,Asia,,184551685.0,1.0
Saint Pierre Miquelon,3452.0,,2.0,,2449.0,,1001.0,1.0,599410.0,347.0,25400.0,4410488.0,5759.0,North America,,228800.0,
Wallis and Futuna,3427.0,,7.0,,438.0,,2982.0,,312056.0,637.0,20508.0,1867419.0,10982.0,Australia/Oceania,,315691.0,
Tuvalu,2805.0,,,,,,2805.0,,232471.0,,,,12066.0,Australia/Oceania,,4.0,
Saint Helena,2166.0,,,,2.0,,2164.0,,354211.0,,,,6115.0,Africa,,3.0,
Montserrat,1403.0,,8.0,,1376.0,,19.0,,282578.0,1611.0,17762.0,3577442.0,4965.0,North America,,46210.0,
Niue,804.0,2.0,,,802.0,,2.0,,495684.0,,,,1622.0,Australia/Oceania,,2.0,1233.0
Tokelau,5.0,,,,,,5.0,,3628.0,,,,1378.0,Australia/Oceania,,276.0,
